rank	count	BODY
1262=	1	"Adults recorded on <i>Acacia</i> sp. (Fabaceae), <i>Jacksonia</i> spp. (Fabaceae), <i>Myoporum insulare</i> R. Br. (Myoporaceae), Teatree (Myrtaceae)." (Levey 2012: 56)
1262=	1	"Apparently associated with the flowers of Papilionaceae, this species was  found in considerable numbers in the flowers of the cover crop <I>Calopogonium</I>, near Darwin", see <MOUNDL2005C>.
1262=	1	"Collected in mound nest of <em>C. brunneus</em>. The short legs, cerci and ovipositor are well protected by the overlapping tergites suggesting these insects defend  themselves from the termites when necessary by retreating under tergites rather than relying on a turn of speed to evade their hosts." (Smith 2009)
1262=	1	"In Europe this species apparently breeds in the flowers of a range of plants, but it is most commonly found in small white flowers such as certain Caryophyllaceae", see <MOUNDL2005C>.
1262=	1	"In clean coral sand and among coral rubble...".
1262=	1	"Most known specimens were collected from limestone massif itself, which is extensively vegetated by hummock  grass with low shrubs and trees" (Doughty et al. 2008)
1262=	1	"[L]ocalities include diverse kinds of xeric habitats from grassland with scattered eucalypts to brigalow" (Raven 2008).
1262=	1	"[k]nown from southwestern Western Australia from low sand dunes, with low mallee, some <em>Triodia</em>, heath or low eucalypts …" (Raven 2009)
1262=	1	"amongst large granite boulders along a drainage line in well-developed rainforest"
1262=	1	"breeds both in flowers and on leaves of many plants. It is particularly abundant on <I>Allium </I>(onions, leeks and garlic), but also on cereals, potatoes, vines and glasshouse crops. It is sometimes an important vector of tospoviruses, particularly on potatoes in Tasmania, but can also be predatory on mites.", see <MOUNDL2005C>.
1262=	1	"first collected by beating flowering <i>Phebalium squamulosum</i> ssp <i>alpinum</i> (Rutaceae), where they were probably feeding on pollen"
1262=	1	"found breeding on the leaves of <I>Parthenium hysterophorus</I>" in India, see <MOUNDL2005C>.
1262=	1	"from terminal leaf bud gall collected from <i>E. baxteri</i> complex"
1262=	1	"likely [to be] subsocial given preliminary field observations"
1262=	1	"on reefs".
1262=	1	"open heath on low rolling sand dunes"
1262=	1	"probably associated with various strongly scented flowers such as those of <I>Gardenia</I>, this species has been collected on one occasion in northern Australia from the flowers of <I>Glossocarya hemiderma </I>(Verbenaceae)" see <MOUNDL2005C>.
1262=	1	"recorded as a pest on many different crops, from chillies and lotus plants to tea and strawberries".
1262=	1	"reef flats".
1262=	1	"shark".
1262=	1	"… a single co-reared pair from a weevil larva (presumably <i>Gonipterus scutellatus</i> …" (Colless 2012: 198)
1262=	1	"… the structure of the female terminalia suggests strongly that, like other members of the group, <i>A. zentae</i> also parasitizes larvae of leaf-eating curculionids." (Colless 2012: 199)
1262=	1	' … associated with several common Malvaceous weeds, <em>Sida rhombifolia</em> and <em>Sida acuta</em>, as well as <em>Malvastrum</em> and <em>Abutilon</em>' (Mound & Tree 2009)
1262=	1	'Among sediments, algae, sea grasses, calcareous concretions, dead corals, and sponges; intertidal and in shallow waters'
1262=	1	'Eucalypts', see <FROGGATTW1923A> [vi].
1262=	1	'Known only from summer-dry peat lands south of  Northcliffe'
1262=	1	'Normally an arboreal species, museum records note its use of woodland associated with watercourses, flat plains, rocky hills and gorges, shrubland on hills and flat plains, and spinifex on hills' (Horner 2007: 60).
1262=	1	'On <I>Utricularia</I>…rare<I>'</I> (Whitelegge 1889: 309); shallow humic littoral.
1262=	1	'This species appears to prefer bottom sediments rather than algae' (Hamond 1973b: 402); he also noted 'it is most unusual for a species of <I>Heterolaophonte</I> to be found in saline lakes that have been separated from the seas for perhaps centuries, although several other species which are basically marine can stand short periods of lowered or variable salinity in estuaries or tidepools (Lang, 1948)'.
1262=	1	'Xmas' bush, Kentia palm.
1262=	1	'[L]ives in shallow, lowland coastal freshwater lakes and marshes, and clearly favours the littoral and similar habitats with dense vegetation. It occurs in slightly acidic to neutral waters with no particularly distinctive water chemistry'.
1262=	1	'[a]part from the holotype, the only other known specimen is a female taken near Taree (NSW) from <em>Eupomatia laurina</em> (Eupomatiaceae), a plant of the eastern rainforests' (Mound & Tree 2009)
1262=	1	'[b]oth sexes and larvae have been taken in considerable numbers on flowering <em>Swainsonia galegifolia</em>, <em>Jacksonia scoparia </em>and <em>Indigofera australis</em> (Fabaceae)' (Mound & Tree 2009: 16)
1262=	1	'[c]ollected from sand and fine black silt with organic matter in a deep clear pool of freshwater'
1262=	1	'[p]robably a subcorticolous species'.
1262=	1	'[t]he record from Taiwan was based on about 40 specimens collected from grasses including <em>Imperata cylindrica</em>, but near Darwin this thrips was found living on the leaves of <em>Ipomoea aquatica</em> that was growing in shallow water' (Mound & Tree 2009)
1262=	1	'a littoral species which at New Year Island was found among beach debris (driftwood and coral litter), and at Oxley Island and North Goulburn Island on and under low beach rocks, close to the high water mark' (Horner 2007)
1262=	1	'animals … located by turning leaf litter, logs and rocks'.
1262=	1	'appears to be distributed across the western and southern part of the mulga zone of arid central Australia'.
1262=	1	'barr and mould on an old eucalyptus stump, in a pine forest', see Bērzinś, B. 1982. Contributions to the knowledge of Rotatoria of Australia. Univ. Lund Publ. 1–24 11 pls pp..
1262=	1	'collected by pyrethrum knockdown on tree trunks'.
1262=	1	'could be subcorticolous'.
1262=	1	'extracted from litter and vegetation with no host plant association'
1262=	1	'flooded grassland and on a flooded spinifex plain'.
1262=	1	'from sand and root mats … in a pool area of a stream'
1262=	1	'from the terminal buds of a <I>Callistemon </I>species'.
1262=	1	'in body form … a typical grass-living species' (Mound & Matsumoto 2009)
1262=	1	'in damp black clayey soil between rocks in vine-forest'.
1262=	1	'in openings in forest canopy, black sandy soil, dense leaf and twig litter, some ground cover, 1 m deep'.
1262=	1	'in soil over rocky substrate, in dense semi-deciduous vine-forest', and 'under logs…'.
1262=	1	'intertidal to 33 m, under rocks intertidally or associated with dead coral substrate covered in coralline algae'
1262=	1	'most depth records between 10 and 165 m'
1262=	1	'most records between 45 and 125 m'
1262=	1	'near the shore of sandy rivers' (Giachino 2003), quoting Baehr, M.
1262=	1	'particularly associated with strongly scented flowers, such as those of <I>Gardenia </I>species' see <MOUNDL2005C>.
1262=	1	'peat bog', algae above high water mark, freshwater creeks also on top of hill.
1262=	1	'presumably a corticolous rain forest dwelling species'.
1262=	1	'probably a corticolous rain forest dwelling species'.
1262=	1	'probably a halophile'.
1262=	1	'probably a subcorticolous species'.
1262=	1	'probably a widespread species across the arid areas of Australia in association with the leaves of the common shrubs <em>Eremophila</em> and <em>Myoporum</em>' (Mound & Matsumoto 2009)
1262=	1	'probably is subcorticolous'.
1262=	1	'probably sampled in more or less closed forest'.
1262=	1	'probably sampled in more or less open country'.
1262=	1	'probably subcorticolous'.
1262=	1	'probably subcorticolous.
1262=	1	'probably … corticolous …'.
1262=	1	'probably … subcorticolous'.
1262=	1	'recorded … forming substantial colonies on the external surfaces of galls that were induced by <I>Neocecidothrips curviseta </I>on <I>Auranticarpa rhombifolia </I>(Pittosporaceae)'.
1262=	1	'rocky rubble, brown algae with epiphytic growth, sticky sediment' and 'dead coral rubble & algal washings'
1262=	1	'sand swimmer', impermanent burrow, occurs in red sand areas dominated by spinifex and acacias.
1262=	1	'sand swimmer', impermanent burrow.
1262=	1	'specific pollinator of a rainforest tree, <I>Wilkiea huegeliana </I>(Monimiaceae) … found breeding in the flowers of several native Australian plants from unrelated genera, including <I>Hibbertia </I>(Dilleniaceae), <I>Lomandra </I>(Xanthorrhoeaceae), <I>Macadamia </I>(Proteaceae), <I>Prostanthera </I>(Labiatae), <I>Ripogonum </I>(Smilacaceae), and <I>Synoum </I>(Meliaceae), as well as in the flowers of <I>Gardenia </I>(Rubiaceae)'.
1262=	1	'taken from galls on leaves of <I>Bursaria spinosa</I>'.
1262=	1	'very common on fine leaved water plants' (Whitelegge 1889: 309); from <I>Myriophyllum</I>;<I> </I>from gravel pit; shallow vegetated lake and pond littorals.
1262=	1	'…reported from near nests of <I>Euponera lutea</I> and a small black <I>Iridomyrmex</I>, under a log' (Caterino 2000).
1262=	1	'…shows adaptations to an euedaphic way of life with loss of  ocelli and pigment, as well as development of particular sensilla on Ant.I and Abd.V'
1262=	1	'…under bark of trunks of <em>Eucalyptus major</em> trees in the dry sclerophyll forest …'
1262=	1	(as <I>Desmodium novae-hollandiae f. latifolium </I>Domin).
1262=	1	(inshore).
1262=	1	(lagoons) probably amongst macrophytes or filamentous algae.
1262=	1	(moss).
1262=	1	(nest arboreal).
1262=	1	(on Poaceae).
1262=	1	(randomly dispersed), seasonal breeder, solitary or in pairs, feeds by perch-and-pounce sallying in low shrubbery and forest understorey, and at times on the forest floor, taking caterpillars, beetles and grasshoppers, brood parasite parasitizing mainly <I>Sericornis beccarii </I>Salvadori, 1874 in Australia (G. Beruldsen, pers. comm.).
1262=	1	(record of a nest of resin is probably of <I>Chalicodoma mystaceana</I> Michener, 1962), flower visiting record: <I>Pongamia</I> Vent. [Fabaceae].
1262=	1	(saline).
1262=	1	(seasonal breeder), sexually dimorphic, in well-grassed eucalypt and paperbark (<I>Melaleuca</I>) woodland and open forest with termitaria, fed almost exclusively on grass seeds on or near the ground, nested on bed of earth in burrows in termitaria, probably wandered locally to seasonal food sources.
1262=	1	(silk sheet and tube).
1262=	1	.
1262=	1	0--5 m.
1262=	1	0-0.5 m.
1262=	1	0-1.5 m.
1262=	1	0-10 m
1262=	1	0-15 m.
1262=	1	0-160 m
1262=	1	0-250 m depth.
1262=	1	0-3 m
1262=	1	0-3 m in heavy surge areas
1262=	1	0-3 m.
1262=	1	0-30 m, associated with coral <I>Acropora</I>.
1262=	1	0-35 m, dead shells.
1262=	1	0-40 m.
1262=	1	0-40m
1262=	1	0-5 m
1262=	1	0-6 m.
1262=	1	0-6100 m.
1262=	1	0-860 m
1262=	1	0.2–33 m.
1262=	1	0.3–3.7 m depth.
1262=	1	0.3–30 m.
1262=	1	0.5 m depth.
1262=	1	0.5-30 m.
1262=	1	0.5m depth in lagoon.
1262=	1	0.5–18 m.
1262=	1	0.5–22 m.
1262=	1	0.5–25 m.
1262=	1	0.5–29 m.
1262=	1	0–100 m.
1262=	1	0–15 m.
1262=	1	0–150 m.
1262=	1	0–2000  m.
1262=	1	0–250 m.
1262=	1	0–2500 m, lives near the bottom
1262=	1	0–29 m.
1262=	1	0–32 m depth; mainly intertidal, dead coral, beach rock, live corals, cryptic species.
1262=	1	0–4000 m, adults concentrated 2000–4000 m.
1262=	1	0–41 m.
1262=	1	0–42 m.
1262=	1	0–50m depth.
1262=	1	0–8 m.
1262=	1	1 collected at light, another from Berlesate, sieved litter.
1262=	1	1 m depth
1262=	1	1 m to 50 m, mainly in 8-20 m.
1262=	1	1,330-1,620 m
1262=	1	1-100 m
1262=	1	1-100 m, often amongst kelp.
1262=	1	1-10m depth.
1262=	1	1-113 m.
1262=	1	1-140 m
1262=	1	1-140 m.
1262=	1	1-15 m
1262=	1	1-15 m, from protected reefs
1262=	1	1-15 m, silty turbid habitats, often near mangroves.
1262=	1	1-170 m.
1262=	1	1-18 m.
1262=	1	1-180 m <Houart1992A>, 150-200 m depth at Rottnest I., WA <Wilson1993B>.
1262=	1	1-180 m.
1262=	1	1-190 m
1262=	1	1-20m; exposed and sheltered habitats; nestling; bottom of steep rock faces.
1262=	1	1-23 m
1262=	1	1-237 m.
1262=	1	1-265 m.
1262=	1	1-27 m.
1262=	1	1-30 m, usually above 15 m.
1262=	1	1-300 m.
1262=	1	1-31 m, turbid reefs.
1262=	1	1-32 m.
1262=	1	1-35 m
1262=	1	1-35 m, seaward reefs
1262=	1	1-36 m.
1262=	1	1-370 m
1262=	1	1-38 m.
1262=	1	1-40 m, usually In shallow, weedy reefs.
1262=	1	1-45 m.
1262=	1	1-48 m.
1262=	1	1-50 m
1262=	1	1-55 m.
1262=	1	1-60 m, usually above 20 m.
1262=	1	1-650 m
1262=	1	1-70 m.
1262=	1	1-75 m depth.
1262=	1	1-80 m.
1262=	1	1-80 m; juveniles sometimes in freshwater
1262=	1	1-90m.
1262=	1	1. Sandy shore of hypersaline lagoon (270‰S) close to Lüderitz, Namibia (cf. Kunz & Kunz 1973), 2. Murray estuary, Australia (Nicholas, pers. obs.), 3. Hypersaline lake (conduc 180 000 µmS cm-3) in Malaga, Spain (Ocana, pers. obs.).
1262=	1	10 fathoms (approx.18.3 m).
1262=	1	10 m depth.
1262=	1	10 m depth; fringing coral reef.
1262=	1	10 m, reef slope.
1262=	1	10 to over 100 m.
1262=	1	10-100 fathoms.
1262=	1	10-100 m
1262=	1	10-120 m.
1262=	1	10-140 m.
1262=	1	10-150 m
1262=	1	10-160 m.
1262=	1	10-183 m.
1262=	1	10-20 fathoms (approx. 18.3-36.6 m).
1262=	1	10-20 fathoms.
1262=	1	10-200 m.
1262=	1	10-20m
1262=	1	10-20m (Mozambique); in northern Mozambique living littorally in muddy sand, often on marine grassflats.
1262=	1	10-22m (Phuket).
1262=	1	10-30 m
1262=	1	10-30 m.
1262=	1	10-30m.
1262=	1	10-30m; very exposed situations along the coastline as well as off-shore; upper side of rocks and boulders; at the base of steep rock faces.
1262=	1	10-40 m.
1262=	1	10-400 m.
1262=	1	10-46 m.
1262=	1	10-50 m (Japan and China).
1262=	1	10-500m (Hawaii).
1262=	1	10-50m depth.
1262=	1	10-60 m, sand with algae <Houart1992A>, below 5 m,  on rocks near sandy bottom (Middelfart pers. obs.).
1262=	1	10-60 m.
1262=	1	10-70 m.
1262=	1	10-70m (Japan).
1262=	1	10.5-15 fathoms (approx. 19.2-27.4m).
1262=	1	100 m depth
1262=	1	100 m depth.
1262=	1	100 m on coral.
1262=	1	100 m.
1262=	1	100 to 600 m.
1262=	1	100-107 m
1262=	1	100-150 fathoms (183-274 m).
1262=	1	100-166 m
1262=	1	100-200 m depth.
1262=	1	100-200m; coarse sand.
1262=	1	100-210 m
1262=	1	100-220 m
1262=	1	100-800 m.
1262=	1	100-900 m
1262=	1	100-920 m.
1262=	1	100.6 m (55 fathoms)-300 m.
1262=	1	1000-1300 m.
1262=	1	1000-1700 m
1262=	1	1000-1800 m depth.
1262=	1	1000-2000 m.
1262=	1	1000–1100 m.
1262=	1	1000–1152 m.
1262=	1	100m depth; hard substrates.
1262=	1	100–1500 m.
1262=	1	100–185 m.
1262=	1	100–250 m.
1262=	1	100–2900 m.
1262=	1	100–320 m.
1262=	1	100–326 m.
1262=	1	100–760 m in Australia and 1-1100 m in New Zealand.
1262=	1	101-166 m
1262=	1	1011–1264 m depth.
1262=	1	1015–1234 m.
1262=	1	1018-1530 m.
1262=	1	102 m depth
1262=	1	1020-1500 m
1262=	1	1022–1500 m.
1262=	1	1024–1080 m.
1262=	1	1025-1080 m
1262=	1	1030–1484 m.
1262=	1	1033-1310 m.
1262=	1	1035–1070 m.
1262=	1	1040–1050 m.
1262=	1	1042–1370 m.
1262=	1	105 m depth.
1262=	1	1050-1300 m depth
1262=	1	1051-1077 m
1262=	1	106-166 m
1262=	1	106-253 m depth
1262=	1	1061–1134 m.
1262=	1	106–144 m depth.
1262=	1	106–300 m.
1262=	1	107 m.
1262=	1	1070–1090 m.
1262=	1	1073 m depth
1262=	1	107–187 m.
1262=	1	108 m (WILSON1993); to 414 m (Cerno1984); dark green; fine.
1262=	1	1080-1100 m depth.
1262=	1	1080–1110 m.
1262=	1	108–880 m.
1262=	1	1090–1150 m depth in Australia, 92–1153 m depth worldwide.
1262=	1	10–100 m, generally over 50 m.
1262=	1	10–119 m depth.
1262=	1	10–12 m depth.
1262=	1	10–125 m.
1262=	1	10–13 m depth.
1262=	1	10–137 m.
1262=	1	10–140 m.
1262=	1	10–15 m.
1262=	1	10–160 m.
1262=	1	10–25 m.
1262=	1	10–30 m, on roofs of caves.
1262=	1	10–30 m.
1262=	1	10–300 m.
1262=	1	10–30m depth; submerged rock reef.
1262=	1	10–366 m.
1262=	1	10–375 m.
1262=	1	10–40 m in <I>Halimida</I> beds.
1262=	1	10–420 m.
1262=	1	10–549 m.
1262=	1	10–64 m.
1262=	1	10–640 m depth; hard and soft substrates.
1262=	1	10–74 m.
1262=	1	10–75 m.
1262=	1	11-60 m, empty shells.
1262=	1	110 fathoms (approx. 200 m).
1262=	1	110, 250 fathoms.
1262=	1	110-150m depth.
1262=	1	110-540 m, possibly to 950 m depth; coral rubble
1262=	1	1100 m depth
1262=	1	1100–1120 m.
1262=	1	110–200 m.
1262=	1	110–220 m.
1262=	1	110–763 m.
1262=	1	1118–1175 m.
1262=	1	1120–1220 m.
1262=	1	1120–1700 m.
1262=	1	112–284 m depth.
1262=	1	113-157 m depth
1262=	1	113-437 m
1262=	1	1139 m.
1262=	1	114-123m; 549m.
1262=	1	1140–1160 m.
1262=	1	1143 m
1262=	1	115-155m.
1262=	1	115-229 m.
1262=	1	115-238 m.
1262=	1	115-605 m.
1262=	1	1195–1313 m
1262=	1	11–13 m depth; encrusting on shell fragments.
1262=	1	11–16 m depth.
1262=	1	11–50 m depth.
1262=	1	12 fathoms (approx. 22m).
1262=	1	12 m, fast current on calcarenite reef.
1262=	1	12 m, fast currents, calcarenite reef.
1262=	1	12 metres.
1262=	1	12-110 m as dead shells
1262=	1	12-200 fathoms (approx. 22-365.8m); to 15 metres.
1262=	1	12-40 m
1262=	1	12-461 m depth
1262=	1	12-82 m
1262=	1	120 fathoms (approx. 219.5m).
1262=	1	120-156 m . 134-156 m.
1262=	1	120-255 m
1262=	1	120-350 m
1262=	1	120-400 m
1262=	1	1200 m depth.
1262=	1	1200 m.
1262=	1	1200-1700 m.
1262=	1	1200-3200 m.
1262=	1	1200–1639 m.
1262=	1	1200–2350 m depth.
1262=	1	120–122 m.
1262=	1	120–1500 m
1262=	1	120–300 m.
1262=	1	120–350 m.
1262=	1	120–400 m.
1262=	1	120–450 m.
1262=	1	120–550 m.
1262=	1	120–720 m depth.
1262=	1	122m depth.
1262=	1	122–256 m depth.
1262=	1	123–300 m.
1262=	1	124 m.
1262=	1	124-370 m.
1262=	1	124m depth.
1262=	1	124–134 m.
1262=	1	125-175 m.
1262=	1	125-180 m.
1262=	1	125-185 m
1262=	1	125-246 m.
1262=	1	125-500 m
1262=	1	125-555 m
1262=	1	1258 m.
1262=	1	1260-1295 m
1262=	1	1264 m depth.
1262=	1	126–130 m.
1262=	1	126–437 m.
1262=	1	1270–1290 m.
1262=	1	128-146 m .
1262=	1	128-203 m.
1262=	1	128-220 m
1262=	1	128-440 m depth
1262=	1	128m; dredged in silty sand.
1262=	1	128–230 m.
1262=	1	12m; shell sand.
1262=	1	12–22 m.
1262=	1	12–27 m depth.
1262=	1	12–366 m.
1262=	1	12–50 m depth.
1262=	1	12–60 m.
1262=	1	12–62 m
1262=	1	12–70 m.
1262=	1	12–90m depth; in soft sediments.
1262=	1	13 m depth.
1262=	1	13-200 fathoms (approx. 23.8-365.8).
1262=	1	13-365 m.
1262=	1	13-400 m
1262=	1	13-75 fathoms (approx. 23.8-137.2m); 230-390m.
1262=	1	13-880 m
1262=	1	130 fathoms (237.8 m).
1262=	1	130 fathoms (approx. 237.7 m).
1262=	1	130-180 m <Houart1992A>.
1262=	1	130-180 metres {HOUART1992A}.
1262=	1	1300-1650 m.
1262=	1	1300-2000 m.
1262=	1	130–136 m.
1262=	1	130–200 m.
1262=	1	130–320 m.
1262=	1	130–732 m
1262=	1	130–820 m.
1262=	1	131–450 m.
1262=	1	131–616 m.
1262=	1	132-200m depth.
1262=	1	133 m (dead).
1262=	1	133 m.
1262=	1	134 m depth.
1262=	1	134-520 m depth
1262=	1	135-320 m
1262=	1	137-184 m.
1262=	1	137-445 m.
1262=	1	1370-2990 m
1262=	1	1384–1416 m.
1262=	1	13–15 m depth.
1262=	1	13–15 m depth; fringing coral reefs, coral rubble, high sediment and turbidity.
1262=	1	13–57 m.
1262=	1	14-15 m depth
1262=	1	14-40 fathoms (approx. 25.6-73.2m)f1 , f2 to 82 metres.
1262=	1	14-40 m.
1262=	1	14-45 m.
1262=	1	14-55 fathoms (approx. 25.6-100.6 m).
1262=	1	14-65 m.
1262=	1	140-210 m
1262=	1	140-540 m
1262=	1	1402 m alt.
1262=	1	140m.
1262=	1	140–220 m.
1262=	1	140–250 m.
1262=	1	140–360 m.
1262=	1	140–420 m.
1262=	1	143–505 m.
1262=	1	144 m.
1262=	1	145-435m.
1262=	1	145-490 m
1262=	1	1456 metres.
1262=	1	146 m (Wilson1993).
1262=	1	146-700 m depth
1262=	1	1463 m alt.
1262=	1	1480-1950 m
1262=	1	148–504 m
1262=	1	1497 - 2000 m depth
1262=	1	14–100 m.
1262=	1	14–18 m depth.
1262=	1	14–28 m depth; coral reef, coral rubble.
1262=	1	15 fathoms (27 m).
1262=	1	15 fathoms (approx. 27.5 m).
1262=	1	15 m breaking reef.
1262=	1	15 m, amongst algae.
1262=	1	15 m, coarse sand with mud.
1262=	1	15 m, reef.
1262=	1	15 m.
1262=	1	15-10 m.
1262=	1	15-108 m
1262=	1	15-128 m
1262=	1	15-1310 m
1262=	1	15-135 m.
1262=	1	15-150 fathoms (approx. 27.4-274.4m).
1262=	1	15-150 m; inside roots of black coral.
1262=	1	15-160 m.
1262=	1	15-20 metres.
1262=	1	15-200 m.
1262=	1	15-30 m.
1262=	1	15-80 m.
1262=	1	15-90 m
1262=	1	150 m , 100-150 m.
1262=	1	150 m depth.
1262=	1	150 m.
1262=	1	150-178 m.
1262=	1	150-200 m
1262=	1	150-200 m.
1262=	1	150-300 fathoms (approx. 274.4-548.7 m).
1262=	1	150-300 fathoms.
1262=	1	150-300 m, 211 m in Australia
1262=	1	150-455 m.
1262=	1	150-510 m
1262=	1	150-548 m depth
1262=	1	150-550 m.
1262=	1	150-640 m.
1262=	1	150-900 m
1262=	1	1500-2000 m.
1262=	1	150–1125 m.
1262=	1	150–1360 m.
1262=	1	150–200 m.
1262=	1	150–312 m
1262=	1	150–400 m, juveniles epipelagic or mesopelagic.
1262=	1	150–400 m.
1262=	1	150–600 m.
1262=	1	150–735 m.
1262=	1	150–900 m.
1262=	1	1510–2450 m.
1262=	1	1515-1920 m depth.
1262=	1	152-600 m.
1262=	1	152–190 m.
1262=	1	155-841 m
1262=	1	156 m.
1262=	1	157–1000 m depth.
1262=	1	15m (Phuket, Thailand).
1262=	1	15m.
1262=	1	15–114 m.
1262=	1	15–120 m.
1262=	1	15–130 m
1262=	1	15–180 m.
1262=	1	15–22 m depth; in sand, coral rubble, granitic substrates.
1262=	1	15–30 m depth.
1262=	1	15–30 m depth; rock reef, <I></I>Ecklonia<I></I> kelp and <I></I>Sargassum<I></I> beds.
1262=	1	15–32m depth; sand, rock, coral rubble substrates.
1262=	1	15–400 m.
1262=	1	15–55 m depth.
1262=	1	15–593 m.
1262=	1	15–60 m.
1262=	1	15–70 m.
1262=	1	15–80 m depth.
1262=	1	16-150 m.
1262=	1	16-23 fathoms (approx. 29.3-42.1m).
1262=	1	160-1350 m
1262=	1	1600-2000 m.
1262=	1	1600-2194 m.
1262=	1	1600-2593 m.
1262=	1	160–348 m.
1262=	1	160–360 m.
1262=	1	160–765 m
1262=	1	162–170 m depth.
1262=	1	164 m, small stones and sand with sponges.
1262=	1	165 m depth
1262=	1	1670-2000 m off continental Australia and 600-1700 m elsewhere
1262=	1	16–20 m depth; coral reef and coral rubble.
1262=	1	16–37 m depth.
1262=	1	16–59 m.
1262=	1	17-110 fathoms (approx. 31.1-201.2 m).
1262=	1	17-155 fathoms (approx. 31.1-283.5m).
1262=	1	17-20 fathoms (31-36.5m).
1262=	1	17-20 fathoms (approx. 31 m).
1262=	1	17-20 fathoms (approx. 31.1-36.6m); to 72m.
1262=	1	17-20 fathoms.
1262=	1	170-180 m.
1262=	1	170-370 m
1262=	1	170-548 m.
1262=	1	1700-2000 m.
1262=	1	170–250 m.
1262=	1	170–350 m.
1262=	1	170–576 m.
1262=	1	172-178 metres.
1262=	1	172–236 m.
1262=	1	175-200 m.
1262=	1	179–320 m.
1262=	1	17–27 m, channel faces or in lagoons.
1262=	1	17–50 m depth; coral rubble and deeper rock reefs exposed amongst gravel and shell grit substrates.
1262=	1	18 m depth (10 fathoms).
1262=	1	18 to 400 m
1262=	1	18-146 m.
1262=	1	18-20 m; to 46 m.
1262=	1	18-200 m.
1262=	1	18-27 m.
1262=	1	18-40 m.
1262=	1	18-60 m.
1262=	1	18.5 m depth.
1262=	1	180 m . 90-180 m.
1262=	1	180-300 m
1262=	1	180-520 m.
1262=	1	180–190 m.
1262=	1	180–460 m.
1262=	1	180–780 m.
1262=	1	184 m.
1262=	1	1840 m depth.
1262=	1	1840–2500 m depth.
1262=	1	184–400 m.
1262=	1	184–604 m.
1262=	1	184–606 m.
1262=	1	185-510 m depth.
1262=	1	187–229 m depth.
1262=	1	189 m.
1262=	1	18–125 m.
1262=	1	18–140 m.
1262=	1	18–21 m in protected bay.
1262=	1	18–210 m.
1262=	1	18–23 m depth; sand, rock and dead coral substrates.
1262=	1	18–360 m.
1262=	1	18–55 m.
1262=	1	18–86 m.
1262=	1	19 m depth; coral pinnacle, high sediment, turbid water.
1262=	1	19 m depth; soft substrates in inter-reef region.
1262=	1	19-70 m.
1262=	1	19-84 m.
1262=	1	190–275 m.
1262=	1	191-210 m depth
1262=	1	192–712 m
1262=	1	194-616 m.
1262=	1	196-606 m (mainly 300-500 m)
1262=	1	1–100  m.
1262=	1	1–113 m.
1262=	1	1–12 m.
1262=	1	1–146 m.
1262=	1	1–18 m.
1262=	1	1–19 m.
1262=	1	1–20 m.
1262=	1	1–28 m.
1262=	1	1–32 m.
1262=	1	1–60 m.
1262=	1	1–70 m.
1262=	1	1–75 m, often trawled.
1262=	1	1–75 m.
1262=	1	1–80 m.
1262=	1	1–82 m.
1262=	1	1–84 m depth.
1262=	1	2-10 fathoms (approx. 3.4-18.3m).
1262=	1	2-114 m.
1262=	1	2-120 m.
1262=	1	2-125 m.
1262=	1	2-15 fathoms (approx. 3.7-27.5m), to 30 metres.
1262=	1	2-15 m.
1262=	1	2-150 m.
1262=	1	2-171 m.
1262=	1	2-20 fathoms (approx. 3.7-36.6m).
1262=	1	2-22 fathoms (approx. 3.7-40.2m); to 15 metres.
1262=	1	2-250 m.
1262=	1	2-26 m
1262=	1	2-280 m.
1262=	1	2-35 m.
1262=	1	2-38 m.
1262=	1	2-40 m
1262=	1	2-45 fathoms (approx. 3.7-82.3m).
1262=	1	2-46 m.
1262=	1	2-50 m, usually above 20 m.
1262=	1	2-60 m.
1262=	1	2-61 m.
1262=	1	2-75 m.
1262=	1	2-8 m.
1262=	1	2-92 m
1262=	1	20 - 234 m.
1262=	1	20 fathoms (36 m).
1262=	1	20 fathoms (36.5m).
1262=	1	20 fathoms (approx. 36.6m); 150 fathoms (approx. 274.35m).
1262=	1	20 m depth.
1262=	1	20 m depth; staghorn and plate coral fringing reef.
1262=	1	20 m, sandy mud.
1262=	1	20 to 30 fathoms depth; 35 m depth.
1262=	1	20-100 m
1262=	1	20-100 m.
1262=	1	20-1097 m depth
1262=	1	20-150 fathoms (approx. 36.6-274.4m).
1262=	1	20-150 metres.
1262=	1	20-160 m.
1262=	1	20-175 m
1262=	1	20-200 m
1262=	1	20-200 m.
1262=	1	20-22 fathoms (approx. 36.6-40.2m).
1262=	1	20-240 m.
1262=	1	20-26 m (Phuket, Thailand)
1262=	1	20-26 m (Phuket, Thailand).
1262=	1	20-26 m.
1262=	1	20-26m (Phuket); 10-50m Japan.
1262=	1	20-26m (Phuket); dredged from shell sand bottom (Phuket).
1262=	1	20-30 metres.
1262=	1	20-300 m, usually 80–180 m
1262=	1	20-35 m deep in its southern distribution; sand, mud and broken shells; collected intertidally at Pender Bay.
1262=	1	20-350 m, 20-100 m in Australia
1262=	1	20-390 m
1262=	1	20-40 m
1262=	1	20-40 m , 40 m; sponges and coral substrates.
1262=	1	20-40 m; its protoconch indicates a short pelagic stage or direct development.
1262=	1	20-50 m
1262=	1	20-50 m depth; often found amongst seagrass roots, sponges, and foraminiferan and bryozoan rubble
