rank	count	Locality
562=	18	Madina High School
562=	18	Mt. Lindesay, 23 km NW of Denmark
562=	18	North Pine River
562=	18	Peak Mt. Bellendon-Ker
562=	18	Witchelina Nature Reserve, Bushy Yowie Track
562=	18	near Victory Well, Everard Pk. Stn
562=	18	vicinity of Anelghowhat [Analgahaut], Aneityum Island, New Hebrides
581=	17	1.1 km E of Cape Arid National Park boundary
581=	17	11.2km S of Lolworth Homestead
581=	17	116.1 km NW of Bond Springs on Tanami Rd
581=	17	13 Km E of Denmark on South Coast Highway
581=	17	143.3 km NW of Bond Springs on Tanami Rd
581=	17	2 km S Ipeukeul
581=	17	2 km along Ridgepole Waterhole Rd, 10 km ESE Musselbrook Resource Centre, Lawn Hill Nat. Pk.
581=	17	6.5 km NE of Fisheries Road on Balladonia Road
581=	17	Baiawa, Moi Biri Bay
581=	17	Daisy Hill, near Slacks Creek, 10 - 15 mi S of Brisbane
581=	17	Dragon Rocks National Park
581=	17	Hienghene
581=	17	Kurlge, Blackwood
581=	17	Lake Broadwater, via Dalby &#40;S.W. Track&#41;
581=	17	Monga State Forest, 0.5 km SE of jnctn of Milo and River Roads
581=	17	Nandarivatu
581=	17	Suta, 500-1200 m
581=	17	Yam Island
599=	16	10.4 km N of Ross Hiway on Arltunga Claraville Rd
599=	16	30km SE of Mount Minnie homestead, 4.37km SW of Northwest Coastal Highway
599=	16	43.5 km S of Tamworth, on New England Hwy
599=	16	83 km W of Tom Price on Nanutarra Rd
599=	16	Anse Vata
599=	16	Callala Beach
599=	16	Christmas Island, nr. North West Point
599=	16	Condamine River, Mooie Hwy
599=	16	Dainers Gap
599=	16	Dumoga Bone NP; Tumpah river nr Edward's subcamp; UTM=WL9365
599=	16	Dumoga-Bone N.P., Clark's Camp
599=	16	Dunbulla State Forest 1.1km along Robson Creek track NW of Dunbulla Forest Drive
599=	16	Kadji Kadji, Paradise track N. of No. 2 Tank
599=	16	Kaisenik Rd, Wau Subdistrict
599=	16	Kokure
599=	16	Kowanyama
599=	16	Mt. Glorious
599=	16	Nouméa
599=	16	Pilbara Dist., 28.3 km S of Auski Roadhouse on the Great Northern Hiway
599=	16	Weise's Orchard, Pialligo
599=	16	biak
620=	15	120 km N of Newman on Great Nthn Hwy
620=	15	37km NE of Laverton
620=	15	53 km SE of Braidwood
620=	15	Bai de Sapins, Pindaii Peninsula
620=	15	Basset site. Mt Glorious
620=	15	Blue Mountains National Park, Faulconbridge Ridge Lookout
620=	15	Carnarvon Gorge National Park, Koolaroo Creek
620=	15	Charles Darwin Reserve, track S of Seven Mile Well
620=	15	Goulburn
620=	15	Indooroopilly
620=	15	Lochada, Boiada Camp
620=	15	Millaa Millaa, 12km S Rt. 25
620=	15	Munghorn Gap Nature Reserve, at start of Castle Rocks walking track
620=	15	Nadi [Nandi]
620=	15	Pilbara Region: Base of Mt Nameless, adjacent to gate
620=	15	Sarmi
620=	15	Trephina Gorge National Park
620=	15	Wardell, 16 km S of Ballina on Pacific Hiway
620=	15	road to Streaky Bay from Poochera
639=	14	26 km E Napier Downs, 175 km E Derby
639=	14	29 km NE of Dunbar
639=	14	30 km S of Armadale on Albany Hiway
639=	14	39.1 km W of Glen Helen
639=	14	4 km WSW of outlet regulator into Lake Cawndilla, Kinchega NP
639=	14	41.4km S of Lolworth Homestead
639=	14	8 km NW of Peterborough
639=	14	Ashfield
639=	14	Basket Swamp NP, SE of Mt Lindsay Hwy
639=	14	Blue Hole, Walpole-Nornalup National Park
639=	14	Bunjalung National Park, 10 km from Pacific Hiway on road to Black Rocks
639=	14	Credo Station, 4.8km along Telstra track off Coolgardie Nth Rd
639=	14	Credo Station, NE of Nagel Dam
639=	14	Dee Why Beach, off Dee Why Parade Road
639=	14	Dolok Merangir, Sumatra
639=	14	Gizo, Gizo Is
639=	14	Lake Trist
639=	14	Lavongai, Banatam
639=	14	Mt. Arthur
639=	14	Mt. Lewis, 11.3 km along Mt. Lewis Road
639=	14	Mt. Missim
639=	14	North Bell Peak, Malbon Thompson Ra
639=	14	Terrigal
639=	14	Tooloom
639=	14	Woomera
639=	14	Yela I: Mt. Rossel
665=	13	105 km W of Tom Price on Nanutarra Rd
665=	13	43 km SE of Braidwood, Deua National Park, Deua River
665=	13	44.2 km E of Nyngan on Mitchell Hiway
665=	13	6.4 km W Wabag
665=	13	60.5 km SE of Southern Cross
665=	13	Apple Tree Flat / Riverlea, 1.2 km along Riverlea Rd off Castlreagh Hwy, nr Mudgee
665=	13	Archer's Creek, Evelyn Tableland
665=	13	Ball Bay, end of Marsh Road
665=	13	Boomer Range, Site 8
665=	13	Bunya Mountains National Park, Horse Gully Creek
665=	13	Canberra Black Mnt.
665=	13	Cape York Peninsula, Lions Den Campground
665=	13	Clermont, 6.5km NNW
665=	13	Col d'Amieu sawmill, east side picnic area
665=	13	Cunnamulla
665=	13	Dalby
665=	13	Emerald Creek Falls State Forest, falls carpark
665=	13	Frenchman's Peak, Cape Le Grande National Park
665=	13	Liffey Falls Rd.
665=	13	Moonbar, Monaro
665=	13	North Point, Kapalga
665=	13	Owieandana, Flinders Ranges
665=	13	Pullabooka SF
665=	13	Sassafras, 21 km E of Nerriga
665=	13	Southwood NP, camp.
665=	13	Torbay, 14 mi W of Albany
665=	13	Ulo crater
665=	13	Vila
665=	13	West Burleigh, 2.5 km WSW
665=	13	Witchelina Nature Reserv, ap. 40 km NW of Lyndhurst
665=	13	Wongabel State Forest, Atherton Tableland
665=	13	ca 28.5 km S of Menzies, 3.2 km E of Kalgoorlie Hiway
665=	13	on bank of Darling River, 20 mi. SSW of Bourke
698=	12	11 km N of Cockle Creek on C636
698=	12	13 km E of Brand Hiway on Marchagree Track
698=	12	17 mi E by S of Ceduna
698=	12	17.5 km W of Guildford Road on Hiway 50 &#40;Toodjay Road&#41;
698=	12	175 km W of Tom Price on Nanutarra Rd
698=	12	2 km W of Morgan
698=	12	26.6 km SW of Edenhope
698=	12	3 km NE of Harrington
698=	12	4 mi. SW of Maynard Bore, Everard Park
698=	12	8.6 km S of Ravensthorpe on Hopetoun Road
698=	12	9.2 km NE Col d' Amieu on toute 5, slopes of Mount Rembai
698=	12	Aoupinie
698=	12	Auki
698=	12	Charmillin Creek, Misty Mountains, Tully Gorge National Park
698=	12	Darnley Island, Torres Strait Islands
698=	12	Dongarra
698=	12	Dunk Island
698=	12	Eastern Slope of Dawson Point Ridge above Old Settlement, Lord Howe Island
698=	12	Faux Yaté on Nibwede River &#40;W of Muri&#41;
698=	12	Ginninderra
698=	12	Japen I., SSE Sumberbaba, Dawai R.
698=	12	Kings Creek at Watarrka National Park
698=	12	Lapid Lapid at Manalik Channel
698=	12	Mt. Ainslie, Canberra
698=	12	Mt. Wellington, The Springs
698=	12	Murda State Forest, Parkes-Condoblin
698=	12	Nullabor National Park 5 km E of WA border
698=	12	Pic d'Amoa
698=	12	Stanthorpe
698=	12	Tapini
698=	12	Tenompok
698=	12	Torbay inlet 10 mi. W. Albany
698=	12	Townesville, marsh CL 1714
698=	12	Wairahu Riv.,
698=	12	Waris, S. of Hollandia, 450-500 m
698=	12	Wum, Upper Jimmi V.
734=	11	11 km ESE of Onslow "termite viewing area
734=	11	18.8 km NW of Cordillo Downs Homestead
734=	11	24 mi. SW of Rawlinna
734=	11	247 km W of Tom Price on Nanutarra Rd
734=	11	27.8 km W of Tanami Rd on Mt Wedge Station Rd
734=	11	31 km NW of Eneabba [WA008]
734=	11	51 km N of Leeman on Indian Ocean Rd, Beekeepers Nature Reserve
734=	11	51.6 km W of Stuart Hiway on Mount Denison-Coniston Rd
734=	11	8 km W of Granville Harbour: C249, 38 km WNW of Zeehan
734=	11	89.2 km N of jct of Agana Kilabarra Rd and Brand Hiway, on Brand Hiway
734=	11	Alor Setar
734=	11	Badu Island, Torres Strait
734=	11	Bank of Edward R. +/- 18 mi W of Moulamein
734=	11	Bogor &#40;Buitenzorg&#41;
734=	11	Brookfield
734=	11	Channel Island
734=	11	Davies Creek State Forest
734=	11	Deidei, Gomwa Bay, Fergusson Isl.
734=	11	Dip Yards, Broome
734=	11	Enneabba
734=	11	Girilambone
734=	11	Gunanur Plantation
734=	11	Gunningbland State Forest
734=	11	Iron Range, Cape York Peninsula
734=	11	Jarrahdale
734=	11	Karekare [Kare Kare], Waitakare [Waitakere]
734=	11	Kukugai
734=	11	Kuranda State Forest, 28.1 km N of Kuranda
734=	11	Kuranda-Cairns
734=	11	Lake Broadwater via Dalby
734=	11	Limestone Gorge
734=	11	Lochada, Omega track 1.5 km N of Mungada Rd
734=	11	Lockerbie Area, Cape York
734=	11	Lyup, near Berri
734=	11	Mount Nebo
734=	11	Mt Boolbun South
734=	11	Mt Pollux, SW base, site 1
734=	11	North Star, Mungle scrub
734=	11	Pacific Hiway, 3 km NE of Maclean
734=	11	Palu, 50 km SE of : Lore Lindu NP, Dongi Dongi sh. UTM SJ86
734=	11	Pilbara Dist., 7.1 km E of Eighty Mile Beach Caravan Park, Wallal Downs Homestead
734=	11	Roberts Bore, ca. 260 km SE of Broome
734=	11	Southport
734=	11	Tatamba
734=	11	Tongariki Island
734=	11	Walyunga National Park, 40 km NE of Perth
734=	11	Wemen, SSW of Robinvale Bank of Murray River
781=	10	11 km W of Gawler
781=	10	12.3 km N of A6 on Jeffery's Track, &#40;C618&#41;
781=	10	12.9 km E of Green Head on Coorow Green Head Rd
781=	10	15 miles W of Pine Hill
781=	10	17.5 km W Warrumbungle National Park
781=	10	21 mi N of Perth, Wildlife Reserve
781=	10	3.2km S of Lolworth Homestead
781=	10	3km NE Mt. Webb
781=	10	Amboina
781=	10	Bellenden Ker Range, Cableway Base Stn
781=	10	Blundell's
781=	10	Bokubet &#40;Victor Emanuel Mt. Range&#41;
781=	10	Botanic Park
781=	10	Charles Darwin Reserve, 4 km N of Wanarra East Rd, track directly N of homestead
781=	10	Charles Darwin Reserve, Wanarra East Rd, NW of Homestead
781=	10	Colo-i-suva [Tholo-i-Suva], Viti Levu Is
781=	10	Devonport, Stoney Rise
781=	10	Elliott River, Guthalungra
781=	10	Franklin R. Crossing ca. 30 m. E. of Queenstown
781=	10	Hindangon, 20 km S of Gingoog
781=	10	Kangaroo Gully, 1km NW Brookton Hwy
781=	10	Kirrama, near Smoko Creek
781=	10	Lizard Island
781=	10	Lochada, Steves track
781=	10	Morven District
781=	10	Mt William, Grampian Range
781=	10	Mt. White, N of Sydney
781=	10	Nadarivatu, Viti Levu Is
781=	10	Novara, Gretel St., near Mandurah
781=	10	On SW Spur of Lingbird Mt., Lord Howe Island
781=	10	Pilbara Dist., Marble Bar Rd, 30 km N of Newman
781=	10	Ranon to Mount Toyo
781=	10	Saltwater Reserve, 15 km SE of Taree, littoral rainforest
781=	10	Sawpit Creek, Mt. Kosciusko
781=	10	Suva, Koronivia Research Station
781=	10	Swan River
781=	10	Swart Valley
781=	10	Trangie
781=	10	Waikaiuna, No. 1
781=	10	Wauchope 62 mi from Wauchope on Oxley Hwy
781=	10	Windsor Tbld, 35km NNW Mt Carbine
822=	9	1.5 km N of Fernshaw Reserve
822=	9	11 km SE Drillham
822=	9	17 km E of Carinda
822=	9	32 km SE of Paynes Find toward Beacon
822=	9	39 km E of Alice Springs
822=	9	45 km W of Tom Price on Nanutarra Rd
822=	9	50 km E Alice Springs
822=	9	9.5 km E of White Wells &#40;SW of Paynes Find&#41;
822=	9	Amadeus Basin
822=	9	Ambon Island nr Ambon City
822=	9	Bald Mountain area, via Emu Vale
822=	9	Boigu Island
822=	9	Brookfield Cons. Pk.
822=	9	Bulolo
822=	9	Bundaberg
822=	9	Burrup Conservation Area, near Karratha
822=	9	Busu R., NE of Lae, Sangeman Village
822=	9	Carnarvon, Blue Bush
822=	9	Charles Darwin Reserve, track N of Wanarra Rd to Samphire Camp
822=	9	Col de la Pirogue
822=	9	Daintree National Park, ca. 4km N of Melissa Creek on Bloomfield Track, Cowie Range
822=	9	Davies Ck Rd, 20km SE Mareeba
822=	9	Deeral
822=	9	Dumoga-Bone National Park, plot B, Fog 3
822=	9	Fogg Dam area
822=	9	Gubbermunda SF, site 1
822=	9	Jesselton
822=	9	Kangaroo Island, Kelley Hills Caves Cons. Park
822=	9	Kuring-gai Chase N.P.
822=	9	Lifou Island. 1 km West of Doueoulou
822=	9	Manokwari, nr Taman Gunung, Meja
822=	9	Marengo State Forest, Chaleundi Rd crossing Top Creek
822=	9	Maryborough
822=	9	Monts des Koghis
822=	9	Mount Mandjelia
822=	9	Mt. Aoupinie
822=	9	Mt. Hypipamee, National Park "The Crater
822=	9	Mt. Stuart summit, 15.5km W of Townsville
822=	9	Mundiwindi
822=	9	Murray Bridge
822=	9	Newell Beach
822=	9	Nyngan Dist.
822=	9	Ooldea
822=	9	Pilbara Dist., Karijini NP, Dales Gorge Lookout
822=	9	Singapore
822=	9	Tamatahi
822=	9	Tawau, Quoin Hill, Cocoa Res. Sta
822=	9	Tindal
822=	9	Tortoise Res. 24 mi N Perth
822=	9	Tungatinah Lagoon, near Tarraleah
822=	9	Upper Cattle Ck, Eungella
822=	9	Woogaroo
822=	9	Yengo National Park, Mt Wareng, Howes Valley fire trail, plot 4
822=	9	Yuendumu
876=	8	11.5 km NE of Wooltana Homestead
876=	8	14 km S Nhill, Little Desert National Park
876=	8	20.3km W of Paluma
876=	8	23.2 km S of Hyden
876=	8	25km N of Newman on Gt. Nthn. Hwy.
876=	8	26km W of Henbury Homestead
876=	8	28 km S Malbooma HS nr Mt. Finke
876=	8	28 mi W of Madura
876=	8	4 mi S of Hiltaba High School
876=	8	42km SW Bourke toward Louth
876=	8	5 km N of Badgingerra
876=	8	5 km NNW of Cahills Crossing, East Alligator River
876=	8	50 m E of Boonal Rd., 5.2 km NE of jnctn with Moree-Boomi Rd
876=	8	Alma Reserve on C132, 22 km S of junction with C145
876=	8	Ayr
876=	8	Bellenden Ker Range, Summit TV Stn.
876=	8	Bismarck Isl. Mussau, Schadel Bay
876=	8	Blundells
876=	8	Boombana NP, site 1
876=	8	Brisbane, Long Pocket
876=	8	Buin [Konga Village]
876=	8	Cabramatta, Valley of Georges River
876=	8	Cairns
876=	8	Cape York Peninsula, base of Mt. Cook National Park &#40;next to Cooktown&#41;
876=	8	Clarence, Blue Mountains.
876=	8	Comerong Island Nature Reserve, nr. Nowra, Seven Mile Beach, on dunes
876=	8	Coniston
876=	8	Credo Station, E side of Emu Rock
876=	8	Curtain Fig, 2km SW Yungaburra
876=	8	Dinden SF, Lamb Range, 11.8km SE of Kennedy Hwy on Davies Creek Rd
876=	8	Dumoga-Bone National Park, Gunung Ambang Forest Reserve, near Kotamobagu, Fog. 7
876=	8	E shore Serpentine Lakes
876=	8	Eyre Peninsula: 35 km N of Streaky Bay
876=	8	Fraser's Hill
876=	8	Gizo, Kolombangara Is, Gizo
876=	8	Grants Well. Christmas Is
876=	8	Guy Fawkes River National Park, Campground, Escarpment Walking Track, Chalenudi Rd terminus
876=	8	Iron range, Cape York Peninsula
876=	8	Jalang Padang Est. &#40;Lampong&#41;
876=	8	Jindabyne
876=	8	Katherine River, 25km NE Katherine
876=	8	Kono House, 1km S. Bakan
876=	8	Korotongo
876=	8	Kwalo, 600-750 m
876=	8	Lake Barrine
876=	8	Lamington National Park
876=	8	Lenakel, 0-200 m
876=	8	Lochada, Mungada Rd just E of turnoff to Boiada Camp
876=	8	Lockerbie, 10 mi WSW of Somerset
876=	8	Mt Dryander
876=	8	Mt Glorious, Basset site
876=	8	Mt. Kaputar National Park, Upper Bullawa Creek Campground
876=	8	Mt. Kosciusko, Daner's Gap
876=	8	Mt. Lewis
876=	8	Mt. Tozer, North Foot 400'
876=	8	Munmorah State Rec.
876=	8	NW Halmahera, 20 km SSW of Tobelo: Gotero Camp along Sg Gotoro W of Telaga Paca
876=	8	Navai
876=	8	Nggela I., Haleta
876=	8	Nouméa, 0-100 m
876=	8	Pilbara Dist., Shay Gap Rd 15.1 km NE of Muccan Homestead
876=	8	Port Lincoln
876=	8	Research Orchard, Appleby
876=	8	Rockhampton
876=	8	Serpentine Lakes
876=	8	Swart Valley: Karubaka
876=	8	Tapo &#40;Tapu&#41;, 3km NW of Kainantu
876=	8	Tiea Reserve, 5 km E of Pouembout
876=	8	Ulladulla
876=	8	Vanoua Lava Island, 2 km W of Sola
876=	8	Vogelkop: Kebar Val. W of Manokwari
876=	8	Volupai, Willaumez Pen.
876=	8	WESTERN AUSTRALIA: Preston Beach
876=	8	West Claudie R, Iron Ra
876=	8	Wilpena
876=	8	Yarrangobilly
876=	8	Yumbarra Nat. Pk
876=	8	ca. 11km SE of Kennedy Hwy, on Cobra Rd
876=	8	ca. 28 km SE of North West Coastal Hiway, on Mardathuna Rd &#40;W of Kennedy Range National Park&#41;
876=	8	ca. 30km SE of Chillagoe, on Burke Developmental Rd
876=	8	near Tinaroo
957=	7	0.5 km N Chagrin
957=	7	0.5 km N of Fisheries Road on Balladonia Road
957=	7	11 mi. SW of Cocklebiddy
957=	7	15 km N of Tom Price on Wittenoom Rd
957=	7	15 km S. of Yarraden, Coen District, N. QLD.
957=	7	15km S by W of Charleville
957=	7	17.6 km SE. Tetere, Tathimani
957=	7	2 km E Nakety
957=	7	2.9 km SE from Southwest National Park &#40;Maydena access&#41;: junction Scott's Peak Rd and Frodshams' Pass
957=	7	22 mi S of Alice Springs
957=	7	22.4km E of Almaden
957=	7	27 km W of Hattah, Murray Sunset National Park
957=	7	3k W of Bones Knob
957=	7	4 km NNW of Lansdowne
957=	7	48 km NE of Cann River
957=	7	5 km N of Rutland Plains
957=	7	57 km S of Menzies
957=	7	78.5 km S of Overlander
957=	7	9 km E of Cervantes
957=	7	Bellenden Ker, Centre Peak Sumit
957=	7	Bidi, Bau District
957=	7	Bogor
957=	7	Botany Bay
957=	7	Carinda - Brewarrina Rd, 2.4 km W of 'Ginghet' Station turnoff
957=	7	Carnarvon Range
957=	7	Charles Darwin Reserve, Edna Springs
957=	7	Charles Darwin Reserve, Homestead
957=	7	Credo Station, NE of Emu Rock Dam
957=	7	Credo Station, Quarry site
957=	7	Cumberland S.F., West Pennant Hills
957=	7	Cyclops Mountains, Ifar
957=	7	Darkes Forest
957=	7	Days Bay
957=	7	Dorrigo
957=	7	Erskine Valley, Lord Howe Island\t31° 34' 48" S\t159° 04' 36" E
957=	7	Fortescue R. Hammersley Range
957=	7	Gayndah
957=	7	Hamelin Pool, Shark Bay
957=	7	Hammersley Inlet Campground, sea level
957=	7	Helena Valley, Perth
957=	7	Hiltaba: ca. 1km N of the southern boundary, on Gawler Ranges Road
957=	7	Iron Range, east bank of East Claudie River
957=	7	Katherine
957=	7	Kimberley Dist., Dampier Peninsula, Quondong Point
957=	7	Kimberley Dist., Kalumburu Rd, 148.2 km N of Gibb River Rd.
957=	7	Koonamore Stn.
957=	7	Koror Island
957=	7	L. Barrine, Atherton Tab.
957=	7	Lamb Ra, 19km SE Mareeba
957=	7	Mis. Or., Mt. Pomalihi, 21 km W. Gingoog City
957=	7	Moife
957=	7	Moses Ck. 4km NbyE of Mt. Finnigan
957=	7	Mount Gingera
957=	7	Mount Tomah
957=	7	Mt Finnigan summit, via Helenvale
957=	7	Mt Spurgeon;2km SE,via Mt Carbine
957=	7	Mt. Lofty Ranges
957=	7	Munda, New Georgia Is
957=	7	Munni Bridge on road to Salisbury
957=	7	Myponga
957=	7	Neurum Ck Cons. Pk
957=	7	Noosa Heads
957=	7	North Tambourine
957=	7	Otford
957=	7	Pilbara Dist., Shay Gap Rd 76.3 km S of Great Northern Hiway
957=	7	Queen Mary Falls area
957=	7	Rajang &#40;Rejang&#41; Delta, Sarikei Dist.
957=	7	Red Hill
957=	7	Redlynch
957=	7	Roadside remnant near Condobolin Tip
957=	7	Roma
957=	7	Royal National Park, Sydney
957=	7	Southern Cross
957=	7	Temple Gorge, Kennedy Range National Park
957=	7	Tully Falls
957=	7	Waai, Ambon Island
957=	7	Wau: Namie Road
957=	7	Yarraman
957=	7	nr Pullabooka S.F.
1036=	6	10km WSW of Point Malcolm
1036=	6	13-15km N of Quinalow
1036=	6	13.6km WNW of Beal Hill
1036=	6	13.8 km N of Crabtree on Jeffery's track &#40;C6180&#41;
1036=	6	146 km NW of Quilpie
1036=	6	14km SW by S of Kulgera
1036=	6	15 mi W of Merredin
1036=	6	16.1 km [10 mi] N of Broken Hill
1036=	6	16.8 km W of Mingenew
1036=	6	2 km E of Walpeup
1036=	6	2 mi W of Kuranda
1036=	6	2.5 km NW of Gin Gin on rd to 'Riverview' Station
1036=	6	25 mi E of Eucla
1036=	6	3 km N of Lansdowne, via Taree
1036=	6	4 km S of Horseshoe Bend Little Desert Nat. Pk
1036=	6	64 km ESE of Onslow
1036=	6	69 km SW Wilcannia toward Menindee
1036=	6	70-75 km ENE of Norseman
1036=	6	9.6 km SE Honiara, Lunga R. &#40;bridge&#41;
1036=	6	9.8 km SSE of Mt. Linden
1036=	6	Adelbert Mountains: Wanuma
1036=	6	Arve River T. 23
1036=	6	Athelstone
1036=	6	Balinsasayao Lake
1036=	6	Belconnen
1036=	6	Bellenden Ker Range, 1 km S of  Cable Tower 6, North Queensland
1036=	6	Benalla
1036=	6	Big Bay, E Jordan River
1036=	6	Boondall Wetlands, site 1
1036=	6	Booti Booti National Park
1036=	6	Brown Lake, North Stradbroke Island
1036=	6	Bullita outstation
1036=	6	Burekup
1036=	6	Cannon Hill via Jim Jim
1036=	6	Capsize Ck, 64 km N of Archer Xing, Cape York Pen.
1036=	6	Cardwell Ra, Mt Macalister
1036=	6	Charles Darwin Reserve, Breakaway, Wanarra Rd, 6.9km E of homestead
1036=	6	Clermont
1036=	6	Clermont, 11 km ENE
1036=	6	Cook Monument Road
1036=	6	Coolibah Ck., 19 km WNW Top Springs
1036=	6	Cooper Park, Bellevue Hill
1036=	6	Coultous Farm, Bogabilla
1036=	6	Credo Station, Ularring Rock
1036=	6	Croangingolong National Park, 9 km N of Point Hicks
1036=	6	Daulo Pass
1036=	6	Deaf Adder Gorge
1036=	6	Dharug National Park, 2km S Wisemans Ferry
1036=	6	Dinden SF, Lamb Range, base of Kahlpahlim Rock track, ca. 15km SE of Kennedy Hwy on Davies Creek Rd
1036=	6	Dorrigo National Park, 0.7 km down track off Slingbys Rd
1036=	6	Dunwich, Stradbroke Island
1036=	6	Finnie
1036=	6	Geraldton Drummond Cove
1036=	6	Gnarabup Beach
1036=	6	Great Vic. Desert E. side Serpentine Lakes
1036=	6	Gurakor, Wamppit R. Valley, 45mi. from Lae
1036=	6	Hollandia area, W. Sentani, Cyclops Mts.
1036=	6	Hornsby
1036=	6	Ipswich
1036=	6	Kalabakan
1036=	6	Kangaroo Island
1036=	6	Kennedy Hiway, approx. 9 km E of Mareeba
1036=	6	Kings Park, Perth
1036=	6	Kokure, nr. Crown Prince Ra.
1036=	6	Kununurra
1036=	6	Lemington National Park
1036=	6	Macquarie Park, Plassey Road
1036=	6	Mareeba, Atherton Tablelands
1036=	6	Mogie Melon watercourse, 'Karrawingi' Station
1036=	6	Moranbah, 6km S
1036=	6	Mossman Gorge
1036=	6	Mount Kosciusko
1036=	6	Mount Salmon, 9.5 km NE on road
1036=	6	Mt Kaindi
1036=	6	Mt. Diffioult, Grampian Ra.
1036=	6	Murda State Forest
1036=	6	NW Coastal Hiway 36 km N of Kalbarri Road
1036=	6	Nausori Highlands
1036=	6	Nielsen Park, Vaucluse
1036=	6	North West Coastal Hiway 45.8 km NE of jct with Blowholes Rd
1036=	6	Northam
1036=	6	Noumea: Anse Vata
1036=	6	Patlangat Plantation
1036=	6	Ravine de Casoars
1036=	6	Royal Botanic Garden
1036=	6	Royal National Park on road b/w Maianbar to Bundeena
1036=	6	Russell R. at Belleden Ker Landing
1036=	6	Sadong, Kampong Tapuh
1036=	6	Scheyville
1036=	6	Spring Hill
1036=	6	Swart Val.:Karubaka
1036=	6	Takopekope, Big Nggela
1036=	6	Taroom, 6 km N on Hwy
1036=	6	Thargomindah
1036=	6	The Grampians, Zumstein
1036=	6	Tifalmin
1036=	6	Tuross
1036=	6	Upper Daintree River, via Daintree
1036=	6	Waipakihi Rd., edge Kaimanawa Forest
1036=	6	Warrah
1036=	6	Wauchope, 72 km W on Oxley Highway
1036=	6	West MacDonnell National Park, Serpentine Chalet turnoff
1036=	6	Wingham
1036=	6	Wombat
1036=	6	approx. 20km NW of Mt. Molloy
1036=	6	approx. 3km N Lansdowne via Taree
1036=	6	jct of Agana Kalbarri Rd and Hawkes Head Rd, Kalbarri National Park
1143=	5	'Gidginbilla' Station, off Castlereigh Hwy ay Combogolong Bridge
1143=	5	1 km N of Barrow Creek
1143=	5	1.8 km S of Freycinet National Park: Friendly Beaches: campground
1143=	5	109 km N of Marble Bar, on Marble Bar - Newman Rd
1143=	5	11 km E of Adavale
1143=	5	12.7 km N of Sigatoka
1143=	5	12.8km NW of Mt. Molloy, on Hwy 81
1143=	5	16 km up Davies Creek rd via Mareeba
1143=	5	17 mi N of Paynes Find
1143=	5	185.6 km N of Barkly Homestead on Tablelands Highway
1143=	5	20 km S of Grafton
1143=	5	28.8 km N of Port Augusta on Stuart Hiway
1143=	5	3.5km NNE Mt Spurgeon
1143=	5	30 mi. S. Mt. Davies
1143=	5	31.6 km NW of Queenstown on Zeehan Hwy
1143=	5	4.5 km S of Jurien on Indian Ocean Rd
1143=	5	5 km S Touho, 100m Ponandou River
1143=	5	5 mi E of Waikiki, S of Fremantle
1143=	5	5.3 km SSW Brisbane Long Pocket Labs
1143=	5	53.1 km S of Wynyard on Murchison Hiway &#40;A10&#41; near pond on S side of road
1143=	5	67 mi E of Ceduna
1143=	5	7.3 km E of Stuart Hiway on Horseshoe Bend Rd
1143=	5	71.6 km NE of Kings Canyon Resort
1143=	5	9 km N of Pambula, Green Pinch Dam
1143=	5	Albury
1143=	5	Alpine Creek, Kiandra
1143=	5	Bawley Point
1143=	5	Beatrice Hill
1143=	5	Belair
1143=	5	Bellenden Ker Top Station
1143=	5	Berry Springs, 50 km NE of Darwin
1143=	5	Betikama R.
1143=	5	Bidi
1143=	5	Blundell's Creek
1143=	5	Blundell's Creek nr Piccadilly Circus
1143=	5	Bowen
1143=	5	Broadwater Park, 35 km NW of Ingham
1143=	5	Bullock Ck Camfield Hmsd
1143=	5	Buningonia Spring &#40;Well&#41;
1143=	5	Burnside, Nambour
1143=	5	Camp and Victory Well area, Everard Park Station
1143=	5	Cannington
1143=	5	Cape Tribulation: Pilgrim Sounds
1143=	5	Cape York Peninsula, Archer Pt. &#40;S of Cooktown&#41;
1143=	5	Cape York Peninsula, Dulhunty Rd
1143=	5	Charles Darwin Reserve, granite SW of homestead on track to White Dam
1143=	5	Charmillin Ck
1143=	5	Cooloola National Park &#40;Great Sandy National Park&#41;
1143=	5	Credo Station, Track W of Black Rabbit Dam
1143=	5	Devon Downs
1143=	5	East of Arltunga Station
1143=	5	Eneabba
1143=	5	Eyre Penin.; Cape Donington
1143=	5	Forest Hill
1143=	5	Gatton
1143=	5	Gazelle Peninsula, Gaulim
1143=	5	Gibraltar Range, via Glen Innes
1143=	5	Gold Coast
1143=	5	Gold Creek
1143=	5	Gold Creek Reservoir, site 1
1143=	5	Gosford
1143=	5	Graciosa Bay
1143=	5	Greta
1143=	5	Hughes Rd, Topaz
1143=	5	Irymple
1143=	5	Kimberley Dist., 2 km N of Halls Ck on Great Northern Hiway
1143=	5	Kimberley, Lennard River, Xing Gibb River Road
1143=	5	Kira-Kira
1143=	5	Kurnell
1143=	5	Lake Mainit
1143=	5	Lambs Head, 10 km W Edmonton
1143=	5	Lame
1143=	5	Lawes
1143=	5	Lochada, Mungada Rd just W of turnoff to Boiada Camp
1143=	5	Lochada, on track due W of Kelly Well
1143=	5	Lord Howe Island
1143=	5	Lower Coomera
1143=	5	Lyneham
