rank	count	N_QUALIFICATION
536=	2	QLD; VIC - Cobram
536=	2	QLD; VIC – Cobram, Mildura
536=	2	Red Capped Plover
536=	2	Red-necked Pademelon
536=	2	Reg. no. AM C102954; host to <Paratype of <D. lochi</i>
536=	2	Reg. no. AM C103731; Host species to Holotype of <i>D. lochi</i>.
536=	2	SA – Alding Scrub; VIC – 32 km east of Lakes Entrance
536=	2	SA – Blewitt Springs; WA – Carnarvon NHR; NSW – Lamington NP; QLD – Nundah, Elimbah Creek, Iron Range, Mulgrave, Point Lookout, Texas, Palmerston, Mount Pelion Mossman Gorge Miamia, Oxley, James Sharp Memorial Park Canungra, Emeralds Creek, Cairns, Cunninghams Gap, Beerwah, Beerburrum, Scarborough, Gympie, Inglewood, Imbil, Glasshour Mountains; VIC - Goldsborough
536=	2	SA – Cox’s Scrub, Kyeema CP
536=	2	SA – Deep Creek CP, Cox’s Scrub, Myponga CP; NSW – Hyalnd SF, Murramarang NP
536=	2	SA – Deep Creek CP, Mt Compass
536=	2	SA – Ferries-McDonald CP, SA – Gawler Ranges
536=	2	SA – Henley
536=	2	SA – Kyeema CP, Deep Creek CP
536=	2	SA – Payneham, Modbury, Walkerville, Unley Park, Kybybolite
536=	2	SA – Sandy Creek CP, Alding Scrub
536=	2	SA – Sandy Creek CP, Alding Scrub, Aldinga Scrub
536=	2	SA – Sandy Creek CP, SA – Para Wirra RP
536=	2	SA – Sping Mount CP, SA – Cox’s Scrub CP
536=	2	SA – Spring Mount CP, Cox’s Scrub CP
536=	2	SA – Spring Mount CP; NSW – Hyland SF
536=	2	SA –Para Wirra RP, Charleston CP
536=	2	SA –Para Wirra RP, Deep Creek CP, Mt Compass
536=	2	Singapore
536=	2	TAS – Derwent Bridge
536=	2	TAS – Ragle Hawk Neck
536=	2	VIC
536=	2	VIC – (Lake Manipow) Hattah
536=	2	VIC – Croajingolong NP N of Mallacoota
536=	2	VIC – Donald
536=	2	VIC – Hattah-Kulkyne NP, Merbein; SA – Marne Valley CP; NSW – Darling and Murray Rivers
536=	2	VIC – Lind NP
536=	2	VIC – Marlo
536=	2	VIC – Mount William Grampian Mountains; NSW – Ben Bord NP
536=	2	VIC – Mt William, Roses Creek Valley Grampian Mountains; SA – Deep Creek CP, Kyeema CP
536=	2	VIC – Victoria Valley Grampian Mountains
536=	2	VIC – Waygoora SF
536=	2	VIC – Wilson’s Promontary Rennick
536=	2	VIC – Wilson’s Promontary Rennick; NSW  - McPherson SF
536=	2	VIC – Woorinen
536=	2	WA
536=	2	WA – 10 km west of Northam
536=	2	WA – 80 km north of Gin Gin
536=	2	WA – Alfred Cove
536=	2	WA – Cottesloe
536=	2	WA – Gosnells
536=	2	WA – King Edward River
536=	2	WA – Pickering Brook
536=	2	WA – Safety Bay
536=	2	WA – Stoneville
536=	2	Wild Cattle Creek SF
536=	2	[now extinct] = <i>Mus macleari</i>; skin (PCR)
536=	2	abomasum, intestine
536=	2	adults also occurring on <i>Eucalyptus uncinata</i>
536=	2	adults also occurring on <i>Leptospermum flavescens</i> [MYRTACEAE]
536=	2	adults also occurring on flowers of <i>Corymbia polycarpa</i>
536=	2	adults also occurring on flowers of other undetermined <i>Leptospermum</i> spp.
536=	2	adults also occurring on flowers of undetermined <i>Leptospermum</i> spp. [MYRTACEAE]
536=	2	aff. <i>radula</i>
536=	2	antibodies (IFAT)
536=	2	antibodies (LAT)
536=	2	as " 'native cat' Dasyurus spec. (D. viverrinus SHAW.)" but this species does not occur in N Qld
536=	2	as <i>Acacia aneura</i> var. <i>Latifolia</i>
536=	2	as <i>Acacia</i> cf. <i>brachystachya</i>
536=	2	as <i>Amyema quandong</i> var. <i>quandong</i>
536=	2	as <i>Dampiera incana</i> var. <i>incana</i>
536=	2	as <i>Dasycercus byrnei</i> (Spencer, 1896); in blood
536=	2	as <i>Dasycercus byrnei</i>; tissue cysts
536=	2	as <i>Macropus canguru</i> nom. illeg. suppressed by ICZN 1966
536=	2	as <i>Prunus persica</i> var <i>persica</i> : NSW – Poeil Creek (near Dareton)
536=	2	as <i>Prunus persica</i> var <i>persica</i> : QLD – Imbil
536=	2	as <i>Prunus persica</i> var <i>persica</i> : VIC – Cardross 
536=	2	as <i>Prunus persica</i> var. <i>persica</i> : WA – Stoneville
536=	2	as <i>Solanum</i> cf. <i>nemophilum</i>
536=	2	as <i>Suggrundus bosschei</i>; gall bladder
536=	2	as <i>Xerotes longifolia</i> (Labill.) R.Br.
536=	2	as <i>Xerotes</i> sp.
536=	2	as a variety; blood
536=	2	as a variety; blood, antibodies (IHAT)
536=	2	as forma
536=	2	blood (+ PCR), antibodies (IFAT), (+ exptl)
536=	2	blood (+ culture)
536=	2	blood (+ exptl.) (+ ELISA, IFAT)
536=	2	blood (exptl. infection) (+ ELISA)
536=	2	blood (exptl. infection)(+ ELISA)
536=	2	blood (monocytes)
536=	2	blood, antibodies (CFT, HAT, IFAT)
536=	2	blood, antibodies (CFT, IFAT, IHAT, HAT, ELISA, RIA), DNA (PCR)
536=	2	blood, antibodies (IFAT)
536=	2	blood, heart, liver, kidney, skeletal muscle, lung, spleen
536=	2	blood, liver
536=	2	blood, lymph nodes
536=	2	blood, skin (+PCR)
536=	2	blood, various organs
536=	2	blood, various organs (exptl. infection)
536=	2	blood; host had visited Africa
536=	2	body surface of tadpoles (exptl. infection)
536=	2	body surface, fins
536=	2	brain (PCR)
536=	2	brain kidney, muscle, heart, antibodies (CFT)
536=	2	brain, antibodies (CFT)
536=	2	brain, antibodies (MAT)
536=	2	brain, heart (PCR)
536=	2	brain, intestines, kidney, liver, lung, muscles (exptl. infection)
536=	2	brain, lungs, heart, liver, spleen, adrenal gland (+ immunohistochemistry, + EM)
536=	2	brain, lymph nodes, antibodies (CFT, DT, IHAT, DAT, LAT, IFAT, ELISA)
536=	2	caeca, intestines, faeces (+ PCR)
536=	2	caeca, liver
536=	2	caecal mucosa
536=	2	caecum, colon
536=	2	central nervous system, foetal tissues (+ PCR)(+ culture), antibodies (IFAT, ELISA, Western blot)
536=	2	central nervous system, skin (+ PCR), antibodies (IFAT)
536=	2	colon, urogenital tract
536=	2	colonic submucosa
536=	2	crop
536=	2	diaphragm, brain
536=	2	earlier combincations <i>Ctenophorus barbatus</i>, <i>Amphibolurus barbatus</i>; blood
536=	2	eggs
536=	2	endosymbiont (cytoplasm); gills
536=	2	ex cone-shaped bud gall
536=	2	ex dorsal fin
536=	2	ex flower gall of <i>Asphondylia mcneilli</i>
536=	2	ex flower gall of<i> Asphondylia tonsura</i>
536=	2	ex gills
536=	2	ex hairy bud gall
536=	2	ex shoot tip gall
536=	2	external surfaces (exptl. infection)
536=	2	eye
536=	2	faeces (+ IMS)
536=	2	faeces (+ IMS) (+ PCR)
536=	2	faeces (+ IMS)(+ PCR)
536=	2	faeces (+ IMS), coproantigens (ELISA), duodenum
536=	2	faeces (+ IMS), duodenum (+ PCR)(+ CELISA)
536=	2	faeces (+ IMS), gut (+ PCR)
536=	2	faeces (+ PCR), antibodies
536=	2	faeces (IMS)(PCR)
536=	2	faeces (culture)
536=	2	faeces (culture) (PCR)
536=	2	faeces (exptl. infection)
536=	2	faeces, intestines (+ PCR)
536=	2	faeces, liver, gall bladder
536=	2	faeces, various tissues (+ PCR), antibodies  (LAT, HAT, DAT, IHAT, IFAT, ELISA)
536=	2	fat bodies
536=	2	feeding on epizoic peritrichs
536=	2	fins
536=	2	flowers
536=	2	for Australia
536=	2	for NZ
536=	2	form taxon ‘petiolaris’
536=	2	found in the gastrointestinal tracts.
536=	2	from brain (exptl. infection)
536=	2	from gills of experimental animal
536=	2	from gut  
536=	2	from gut & faeces
536=	2	from the trachea 
536=	2	from trivalvate branch shoot tip gall
536=	2	gill, skin
536=	2	gut (+ culture)
536=	2	gut wall
536=	2	gut, faeces
536=	2	gut, faeces (+ PCR), coproantigens (ELISA), culture
536=	2	gut, salivary glands (exptl. infection)
536=	2	haemal space
536=	2	heart (exptl. infection)
536=	2	host originally recorded as <em>Rhynchobatus djiddensis</em> Forsskål, 1775, but this name now applies to a species found only in the Western Indian Ocean; re-examination of host material is needed to determine the host name
536=	2	imported ornamental fish
536=	2	in Australia on galls of <i>Gynaikothrips</i> sp.. Also in Australia it feeds on <i>Gynaikothrips ficorum</i> (Marchal, 1908)
536=	2	in TAS
536=	2	in VIC
536=	2	in Vic, NSW, WA, QLD
536=	2	in burrow
536=	2	in faeces
536=	2	in northern QLD (probably <i>Dasyurus hallucatus</i>)
536=	2	in northern Qld
536=	2	in proventriculus
536=	2	in proventriculus (+ PCR)
536=	2	in scleractinian coral
536=	2	incorrectly recorded as <i>S. secundus</i>; gut
536=	2	intestinal mucosa, faeces
536=	2	intestine, faeces
536=	2	intestines (exptl. infection in tadpole)
536=	2	intestines (exptl. infection in tadpoles)
536=	2	intestines (tadpoles)
536=	2	intestines, faeces
536=	2	intestines, kidney
536=	2	intestines, kidney, brain
536=	2	intestines, large intestine
536=	2	intestines, nasal epithelium
536=	2	kidney, muscles, skin
536=	2	larvae also occurring in <i>Acacia concurrens, A. irrorata, A. longifolia, A. melanoxylon, A. mucronata, A. sophorae, A. terminalis</i> [FABACEAE], <i>Excoecaria agallocha</i> [EUPHORBIACEAE], <i>Flindersia australia</i> [FLINDERSIACEAE], <i>Aegiceras corniculatum</i> [MYRSINACEAE], <i>Citrus limonia, C. sinensis, Citrus</i> sp. [RUTACEAE] and <i>Clerodendrum floribundum</i> [VERBENACEAE]
536=	2	larval smears
536=	2	latex
536=	2	liver, intestines
536=	2	liver, spleen
536=	2	liver, spleen, muscle
536=	2	lung
536=	2	lung, liver, spleen
536=	2	lung, spleen, brain
536=	2	lungs, antibodies (IHAT, CSFA)
536=	2	midgut
536=	2	mispelt <i>Myotus</i>; faeces, intestines (+ PCR)
536=	2	mouth, larynx
536=	2	mouth, pharynx, oesophagus, crop
536=	2	muscle, antibodies (CFT)
536=	2	muscle, antibodies (CFT, IFAT, ELISA)
536=	2	muscle, brain, kidney, antibodies (DT)
536=	2	muscles (+ e4xptl. infection)
536=	2	muscles (+ exptl. infection)
536=	2	muscles (PCR)
536=	2	muscles, antibodies (IFAT, DT)
536=	2	muscles, various organs, antibodies (IHAT, ELISA)
536=	2	neural tissues, muscles, antibodies (DT, CFT, IFAT)
536=	2	oenocytes, fat bodies
536=	2	on <i>Ficus craterostoma</i>
536=	2	on <i>Ficus microcarpa</i>
536=	2	on <i>Liothrips fluggea</i> Bournier, 1962
536=	2	on <i>Olea europaea</i>
536=	2	on galls of <i>Gynaikothrips uzeli</i> (Zimmerman, 1900)
536=	2	on galls of <i>Holopothrips tabebuia</i> Cabrera & Segarra, 2008
536=	2	on leaves
536=	2	on logs
536=	2	on logs?
536=	2	ova
536=	2	pereiopods, dorsum
536=	2	peritoneal cavity
536=	2	pharynx, oesophagus, crop
536=	2	prey
536=	2	reared from rosette-like male flower gall
536=	2	reported as <em>Himantopus himantopus leucocephalus</em> Gould, 1837
536=	2	reported as <em>Pseudantechinus bilarni</em>
536=	2	rosette-like male flower galls
536=	2	setae
536=	2	skin (+ PCR)
536=	2	skin (culture + PCR)
536=	2	skin (exptl.)
536=	2	small intestine (PCR)
536=	2	small intestines
536=	2	small intestines, faeces (PCR)
536=	2	squash
536=	2	stomach (+ PCR)
536=	2	subcutaneous tissue
536=	2	sugar
536=	2	syn. <i>A. mauritiana</i>; blood
536=	2	syn. <i>A. mauritiana</i>; intestinal mucosa
536=	2	syn. <i>Acerina peeli</i>; intestinal mucosa
536=	2	syn. <i>Acerina peeli</i>; skin, gills
536=	2	syn. <i>Amphiesma mairii</i>, <i>Tropidonophis mairii</i>; blood, liver, lungs
536=	2	syn. <i>Antechinomys laniger</i>; tissue cysts
536=	2	syn. <i>Antechinus apicalis</i>; tissue cysts
536=	2	syn. <i>Antechinus macdonnellensis</i>; tissue cysts
536=	2	syn. <i>Austroastacus hemicirratulus</i>; gill filaments
536=	2	syn. <i>B. australis</i>; gut, haemolymph, Malpighian tubules, ova, salivary glands, 
536=	2	syn. <i>B. australis</i>; gut, ova, salivary glands, haemolymph
536=	2	syn. <i>B. magnirostris</i>; blood
536=	2	syn. <i>C. fatigans</i>; salivary glands (exptl. infection)
536=	2	syn. <i>C. oceaniae</i> = <i>Anastellorhina augur</i>
536=	2	syn. <i>C. sulphurea</i> (= <i>C. pacificus</i>); tissues
536=	2	syn. <i>Calotermes obscurus</i>; hindgut
536=	2	syn. <i>Casarca tadornoides</i>; blood
536=	2	syn. <i>Cavia cutleri</i> Bennett, 1835; blood (exptl. infection)
536=	2	syn. <i>Cavia cutleri</i> Bennett, 1835; gut
536=	2	syn. <i>Chenopsis atrata</i>; blood
536=	2	syn. <i>Chibia bracteata</i>; blood
536=	2	syn. <i>Chloebia gouldiae</i>; small intestines
536=	2	syn. <i>Coturnix australis</i> (Latham, 1801);  (PCR)
536=	2	syn. <i>Crassostrea commercialis</i>, <i>S. commercialis</i>; gills
536=	2	syn. <i>Crassostrea commercialis</i>, <i>S. commercialis</i>; hepatopancreas
536=	2	syn. <i>Crassostrea commercialis</i>, <i>S. commercialis</i>; hepatopancreas (+ PCR)
536=	2	syn. <i>Ctenophorus barbatus</i>, <i>Pogona barbata</i>; faeces, duodenum
536=	2	syn. <i>Cyprinus auratus</i>; body surface
536=	2	syn. <i>Cyprinus auratus</i>; gill, skin
536=	2	syn. <i>Cyprinus auratus</i>; intestines
536=	2	syn. <i>Cyprinus auratus</i>; skin
536=	2	syn. <i>Cyprinus auratus</i>; skin, fins
536=	2	syn. <i>D. gigas</i>; blood
536=	2	syn. <i>Demigretta sacra</i>; blood
536=	2	syn. <i>E. pictum</i>; faeces (PCR)
536=	2	syn. <i>E. serratus</i>; gills
536=	2	syn. <i>Engaeus marmoratus</i>; gills
536=	2	syn. <i>G. attenuatus</i>, <i>G. scriba</i>; body surface
536=	2	syn. <i>G. attenuatus</i>, <i>G. scriba</i>; skin, fins, gills
536=	2	syn. <i>G. cyanoleuca</i>; liver
536=	2	syn. <i>G. hypoleuca</i>; blood
536=	2	syn. <i>G. ovatus</i>; intestinal mucosa
536=	2	syn. <i>G. ovatus</i>; surface
536=	2	syn. <i>Gilbertia annulata</i>, <i>G. semicincta</i>, <i>Ellerkeldia annulata</i>; blood
536=	2	syn. <i>Gymnocranius bitorquatus</i>; brain
536=	2	syn. <i>Gymnocranius bitorquatus</i>; surface
536=	2	syn. <i>Hyla aurea</i>; gut
536=	2	syn. <i>Hyla aurea</i>; intestine
536=	2	syn. <i>Hyla caerulea</i>; blood, liver
536=	2	syn. <i>Hyla peronii</i>; gut
536=	2	syn. <i>L. eucnemis</i>; intestines
536=	2	syn. <i>Lamprotreron superba</i>; blood
536=	2	syn. <i>Liasis fuscus</i>; blood, liver, lung
536=	2	syn. <i>Lygosoma quoyii</i>, <i>Hinulia quoyii</i> = <i>Eulamprus quoyii</i>; blood
536=	2	syn. <i>M. bennetti</i>; gut wall
536=	2	syn. <i>M. bennetti</i>; kidney
536=	2	syn. <i>M. bennetti</i>; various tissues (+ PCR)(+ culture), antibodies (DAT, MAT, ELISA)
536=	2	syn. <i>M. canguru</i>; faeces (+ IMS, + PCR)
536=	2	syn. <i>M. canguru</i>; faeces (+ PCR)
536=	2	syn. <i>M. canguru</i>; various tissues, antibodies (IHAT)
536=	2	syn. <i>M. domesticus</i>; blood, brain (exptl. infection)
536=	2	syn. <i>M. domesticus</i>; brain (+ PCR), antibodies (Western blot) (exptl. infection)
536=	2	syn. <i>M. domesticus</i>; brain, tissues, liver, peritoneum (+ exptl.), antibodies (DT)
536=	2	syn. <i>M. domesticus</i>; faeces (+ PCR)
536=	2	syn. <i>M. domesticus</i>; faeces, gut (+ PCR) (exptl. infection)
536=	2	syn. <i>M. domesticus</i>; gut, antibodies (RIA)
536=	2	syn. <i>M. domesticus</i>; gut, faeces
536=	2	syn. <i>M. domesticus</i>; gut, faeces (+ PCR)
536=	2	syn. <i>M. domesticus</i>; heart, tongue, lungs (exptl. infection)
536=	2	syn. <i>M. domesticus</i>; intestine, faeces (+ PCR)(exptl.)
536=	2	syn. <i>M. domesticus</i>; kidney
536=	2	syn. <i>M. domesticus</i>; muscle (exptl. infection)
536=	2	syn. <i>M. domesticus</i>; muscles
536=	2	syn. <i>M. domesticus</i>; skin (exptl.)
536=	2	syn. <i>M. garrula</i>; blood, heart, spleen
536=	2	syn. <i>Megalia rufus</i>; faeces (+ IMS, + PCR)
536=	2	syn. <i>Megalia rufus</i>; faeces (+PCR)
536=	2	syn. <i>Megalia rufus</i>; kidney
536=	2	syn. <i>Meliornis novaehollandiae</i>; blood
536=	2	syn. <i>Meliphaga chrysops</i>, <i>Ptilotis chrysops</i>; blood
536=	2	syn. <i>Meliphaga melanops</i>, <i>M. auricomis</i>; blood
536=	2	syn. <i>Meliphaga penicillata</i>, <i>M. leilavalensis</i>, <i>Ptilotis penicillatus</i>, <i>Ptilotis leilavalensis</i>; blood
536=	2	syn. <i>Meliphaga plumula</i>, <i>Ptilotis plumula</i>; blood
536=	2	syn. <i>Meliphaga virescens</i>, <i>Ptilotis sonora</i>; blood
536=	2	syn. <i>Morelia spilota</i>; blood, liver, lung
536=	2	syn. <i>Morelia spilota</i>; faeces
536=	2	syn. <i>Morelia spilota</i>; muscle
536=	2	syn. <i>N. elongata</i>; gills
536=	2	syn. <i>Nettion castaneum</i>, <i>Nettium castaneum</i>; blood
536=	2	syn. <i>P. sciureus</i>; blood
536=	2	syn. <i>Paramoeba pemaquidensis</i> Page, 1970; endosymbiont (cytoplasm); gills
536=	2	syn. <i>Phascolom mitchelli</i>; brain
536=	2	syn. <i>Phascolom mitchelli</i>; faeces, small intestine
536=	2	syn. <i>Phascolom mitchelli</i>; various organs (+ PCR), antibodies (DAT)
536=	2	syn. <i>Plectroplites ambiguus</i>; skin, fins, gills
536=	2	syn. <i>Plotosus tandanus</i>, <i>Capidoglanus tandanus</i>; blood
536=	2	syn. <i>Plotosus tandanus</i>, <i>Capidoglanus tandanus</i>; body surface
536=	2	syn. <i>Pogona vitticeps</i>; faeces
536=	2	syn. <i>Pogona vitticeps</i>; faeces (PCR)
536=	2	syn. <i>Pollenia stygia</i>, <i>C. villosa</i>
536=	2	syn. <i>Prototroctes semoni</i>; skin, gills
536=	2	syn. <i>Python amethystinus</i>; blood, liver, lung
536=	2	syn. <i>R. conatus</i>; blood
536=	2	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; blood (exptl. infection)
536=	2	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; brain, antibodies (CFT, DT)
536=	2	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; gut, faeces
536=	2	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; heart, skeletal muscle, lung, kidney
536=	2	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; intestine (+ PCR)(exptl. infection)
536=	2	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; muscle
536=	2	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; tissues
536=	2	syn. <i>S. chrysopterum</i>; blood
536=	2	syn. <i>S. fario</i>; body surface
536=	2	syn. <i>S. maxillaris</i>, <i>Oriolus viridis</i>; blood
536=	2	syn. <i>S. maxillaris</i>, <i>Oriolus viridis</i>; blood, liver, lung, skeletal muscle
536=	2	syn. <i>Saccostrea echinata</i>
536=	2	syn. <i>Sphaeroides pleurosticus</i>; intestinal mucosa
536=	2	syn. <i>Spheroides pleurogramma</i>; surface
536=	2	syn. <i>T. aerolata</i>; gill, blood
536=	2	syn. <i>Tetraodon hispidus</i>; blood
536=	2	syn. <i>Thylacis obesulus</i>; blood (+ PCR)
536=	2	syn. <i>Thylacis obesulus</i>; kidney
536=	2	syn. <i>Thylacis obesulus</i>; lung, brain, antibodies (CFT)
536=	2	syn. <i>Tiliqua rugosa</i>; blood
536=	2	syn. <i>Tiliqua rugosa</i>; rectum
536=	2	syn. <i>Todirhamphus sanctus</i>; blood, skeletal muscle
536=	2	syn. <i>Tropidorhynchus corniculatus</i>; blood, heart, spleen
536=	2	systemic infection
536=	2	taken at Brisbane, QLD [according to AFD this subspecies occurs only in tropical NT and WA; other subspecies occur in SE QLD]
536=	2	tissues
536=	2	turbellarian parasitic in crown-of-thorns starfish <i>Acanthaster planci</i>; gut
536=	2	unusual association
536=	2	urogenital tract
536=	2	urogenital tract (+ PCR)(+ culture)
536=	2	various organs, antibodies (CFT)
536=	2	various organs, antibodies (IFAT)
536=	2	various tissues (+ PCR)(+ culture), antibodies (IHAT, DAT, MAT)
536=	2	various tissues (+ PCR), antibodies (IFAT, IHAT)
536=	2	various tissues (+ PCR), antibodies (IHA, LAT, MAT, DT, ELISA)
536=	2	various tissues (brain, heart, kidney, lung, liver, adrenal gland), antibodies (CFT, HAT)
536=	2	various tissues (exptl. infection)
536=	2	various tissues (heart, brain, liver, spleen, lymph nodes, bladder, kidney, adrenal glands)
536=	2	various tissues, antibodies (CFT, IFAT, ELISA)
536=	2	various tissues, antibodies (DT, CFT, IFAT, IHAT, ELISA)
536=	2	various tissues, antibodies (DT, DAT, MAT, ELISA)
536=	2	various tissues, central nervous system, antibodies (DAT, MAT)(+ exptl. infection)
536=	2	zoo record only
1065=	1	 (cDNA)
1065=	1	 NSW – Cockerwombeeba R Mt Boss SF
1065=	1	 WA – Hyden
1065=	1	"Bred from “sawfly larvae”, some identified as <i>Perga</i> species" Colless (2012: 175), also <i>Pergagrapta turneri</i>
1065=	1	()
1065=	1	(= <I>H. uarnak</I>; see Whittington & Last, 1994)
1065=	1	(Kirkaldy 1906)
1065=	1	, 
1065=	1	, antibodies (DT)
1065=	1	= <I>M. Lutillus</I>
1065=	1	= <I>M. lutillus</I> (Ramsay, 1887)
1065=	1	= <I>R. Conatus</I>
1065=	1	= <I>Rattus Conatus</I>
1065=	1	= <I>Rattus assimilis</I>
1065=	1	= <em>thetidis</em> Lesson [<em>Thyogale eugenii</em>]
1065=	1	= <i>C. perthiana</i> Forel
1065=	1	= <i>C. testaceipes</i> Smith
1065=	1	= <i>Canis lupus dingo</i>; blood parasite
1065=	1	= <i>R. conatus</i>
1065=	1	??
1065=	1	ACT – Black Mountain; NSW
1065=	1	ACT – Caberra
1065=	1	ACT – Canberra
1065=	1	ACT – Canberra; NSW
1065=	1	Australian records all from <em>Zoroaster carinatus</em> Alcock, 1893
1065=	1	Australian records from Perth and Broome area, WA, and Ralphs Bay, Tasmania
1065=	1	Beerwah
1065=	1	Biloela, The Bluff Yeppoon
1065=	1	Brain (+ PCR)
1065=	1	Brisbane, Qld (AMNH 173)
1065=	1	Brisbane, Qld AMNH 173
1065=	1	Brush-tailed Phascogale (WL N4387)
1065=	1	Charleston CP
1065=	1	Charleston CP, Aldinga Scrub P; SA – Kyeema CP, Aldinga Scrub
1065=	1	Cinnamon Antechinus (WL N3262)
1065=	1	Common foodplant of woodllands and forests and persists on disturbed areas
1065=	1	Diptera
1065=	1	Eastern Barred Bandicoot
1065=	1	Fawn-footed Melomys
1065=	1	Grassland Melomys (WL N4117)
1065=	1	Gut, faeces
1065=	1	Hymenoptera
1065=	1	Intestines (+ PCR)
1065=	1	Japan
1065=	1	Kirkaldy 1906
1065=	1	Lake Pure Station
1065=	1	Long-nosed Bandicoo
1065=	1	MT Elliott NP
1065=	1	Macdonnell Ranges
1065=	1	Mundubbera
1065=	1	NSW - Finley
1065=	1	NSW - Gosford, Sydney; QLD – Broadwater
1065=	1	NSW - Murramarang NP
1065=	1	NSW - Newcastle Golf Club; WA – Rockingham
1065=	1	NSW - Present in lucerns growing areas ; TAS – Campbell Town, Swansea ; VIC – Werribee, Bealiba, Rokewood 
1065=	1	NSW - Rydalamere
1065=	1	NSW - Yanco
1065=	1	NSW ; NT – Darwin; QLD – Mission Beach, Kilkican, Victoria Point, Yeppoon, Brisbane, Rockesberg. Common in banana plantations; SA ; WA
1065=	1	NSW – Albury, Sydney, Mittagong, Mount Tomah
1065=	1	NSW – Alstonville
1065=	1	NSW – Alstonville, Coopers Creek, Mullumbimby; NT
1065=	1	NSW – Altonsville
1065=	1	NSW – Altonsville; QLD – Beerwah, Brisbane, Childers, Woombye, Acacia Ridge, Innisfail
1065=	1	NSW – Banda Banda Reserve Mt Boss SF
1065=	1	NSW – Batemans Bay, Bodalla, South Coast, Wyong, Casina; VIC – Bemm River
1065=	1	NSW – Bathurst, Central Tablelands, Central, South Coast
1065=	1	NSW – Batlow ; WA – Kirup, Manjimup, Donnybrook
1065=	1	NSW – Baulkham Hill, Sydney
1065=	1	NSW – Baulkham Hills, West Pennant Hills, Tuross Heads, Karuah: VIC – Lorne, Sea Lake, Widespread
1065=	1	NSW – Berry, Nowra ; SA ; WA – Boyanup, Coolup
1065=	1	NSW – Bobs Farm; QLD – Nambour
1065=	1	NSW – Boundary Creek ; QLD – Mount Elliott NP
1065=	1	NSW – Bourke, Mungindi, Gongolgon. Nematode not <i>A. funesta</i> but associated with death of livestock
1065=	1	NSW – Brodies Plains, Finley
1065=	1	NSW – Cherry Tree SF, Mount Lindsay SF
1065=	1	NSW – Cockerwombeeba R Mt Boss SF
1065=	1	NSW – Cumberland Park SF
1065=	1	NSW – Cumberland Park, NSW – Dalmorton SF
1065=	1	NSW – Cumberland SF, Cumberland Park
1065=	1	NSW – Darling River Ana Branch
1065=	1	NSW – Dlamorton SF
1065=	1	NSW – Dundee
1065=	1	NSW – Dungog-Barrignton Tops, Banda Banda Reserve Mt Boss SF; QLD – O’Reilly’s Guest House Lamington NP
1065=	1	NSW – Epping
1065=	1	NSW – Garah : SA – Lucindale, Conmurra. Nematode not <i>A. funesta</i> but linked  with toxicity to livestock 
1065=	1	NSW – Glenbog SF
1065=	1	NSW – Glenorie
1065=	1	NSW – Gosford ; SA – Eudunda, widespread crop damage
1065=	1	NSW – Gosford, MIA
1065=	1	NSW – Gosford, Sydney, Harwood, Penrith, Griffith; QLD – Coominya, Severlea, Warwick, Nudgee Beach; VIC – Robinvale, Merbein, Rutherglen, Taminick, Milawa
1065=	1	NSW – Gosford, Sydney; QLD – Stanthorpe
1065=	1	NSW – Griffith; VIC – Red Cliffs ; WA - Leederville
1065=	1	NSW – Harwood, Broadwater; QLD – Bundaberg, Coolum
1065=	1	NSW – Hunter River estuary
1065=	1	NSW – Inverel Moss; TAS; VIC – Ferntree Gully NP, Wilsons Promontary
1065=	1	NSW – Jacks Creek; QLD – Thangool
1065=	1	NSW – Jenolan SF, Glenbog SF
1065=	1	NSW – Jenolan SF, Glenbog SF; VIC – Grampian Ranges, Mount William Grampian Ranges, Roses Creek Valley Grampian Mountains; SA – Totness RP, Kyeema CP
1065=	1	NSW – Knockrow
1065=	1	NSW – Kurrajong, Gosford, Bathurst, Mount Wilson,Bundanoon, Camden, Orange, Aberdare, Robertson, Lithgow, Gladesville, Glenorie, Taree, Sydney, Mount Tomah ; WA – Bassendean
1065=	1	NSW – Lismore
1065=	1	NSW – Lismore; QLD – Beechmont
1065=	1	NSW – Liverpool, Lindfield, Hunters Hill, Lisarow, Narara, Otford; SA
1065=	1	NSW – Longreach
1065=	1	NSW – Maclean
1065=	1	NSW – Mandalong, Coopernook; QLD – Brisbane, Cooroy, Redbank, Mt Tambourine
1065=	1	NSW – Maroota
1065=	1	NSW – Marsfield
1065=	1	NSW – Matcham
1065=	1	NSW – Matraville
1065=	1	NSW – Moore Park
1065=	1	NSW – Morton NP, Nyngan; SA – Mount Compass
1065=	1	NSW – Mount Kosciusko
1065=	1	NSW – Mount Lindsay SF
1065=	1	NSW – Mount Ninderry
1065=	1	NSW – Mount Tomah
1065=	1	NSW – Mt Boss
1065=	1	NSW – Mt Topper SF
